275	Catahoula Leopard dog
276	Chihuahua, Short Coat
277	Colourpoint Shorthair
278	German Shepherd, King
279	Terrier, Jack Russell
280	Vizsla, Smooth Haired
281	Welsh Corgi, Cardigan
282	Welsh Corgi, Pembroke
283	Caucasian Mountain Dog
284	Olde English Bulldogge
285	Retriever, Flat-Coated
286	Terrier, Black Russian
287	Terrier, Glen of Imaal
288	American White Shepherd
289	Appenzeller Sennenhunde
290	Polish Lowland Sheepdog
291	Retriever, Curly Coated
292	Spaniel, American Water
293	Spaniel, English Cocker
294	Spaniel, Welsh Springer
295	Terrier, Dandie Dinmont
296	Terrier, Miniature Bull
297	Terrier, Parson Russell
298	Braque Francais Pyrenees
299	Coonhound, Black and Tan
300	Entlebucher Mountain Dog
301	Spaniel, American Cocker
302	Coonhound, Treeing Walker
303	Retriever, Chesapeake Bay
304	Spaniel, English Springer
305	Treeing Tennessee Brindle
306	Alapaha Blue Blood Bulldog
307	Central Asian Shepherd Dog
308	Greater Swiss Mountain Dog
309	Pointer, German Wirehaired
310	Terrier, American Hairless
311	Terrier, American Pit Bull
312	Coonhound, American English
313	Pointer, German Shorthaired
314	Terrier, Staffordshire Bull
315	Griffon, Wirehaired Pointing
316	Terrier, Soft Coated Wheaten
317	Terrier, West Highland White
318	Griffon Vendeen, Grand Basset
319	Griffon Vendeen, Petit Basset
320	Australian Shepherd, Miniature
321	Spaniel, Cavalier King Charles
322	Terrier, American Crested Sand
323	Terrier, English Staffordshire
324	Dachshund, Standard Long Haired
325	Dachshund, Standard Wire Haired
326	Terrier, American Staffordshire
327	Dachshund, Miniature Long Haired
328	Dachshund, Miniature Wire Haired
329	Dachshund, Standard Smooth Haired
330	Dachshund, Miniature Smooth Haired
331	Retriever, Nova Scotia Duck Tolling
332	White Swiss Shepherd (Berger Blanc Suisse)
333	Mixed Breed, Large (over 44 lbs fully grown)
334	Mixed Breed, Small (under 24 lbs fully grown)
335	Mixed Breed, Medium (up to 44 lbs fully grown)
